,Date,Open
0,2021-04-01,57.65999984741211
1,2021-04-05,59.34000015258789
2,2021-04-06,59.880001068115234
3,2021-04-07,59.790000915527344
4,2021-04-08,59.13999938964844
5,2021-04-09,59.02000045776367
6,2021-04-12,57.56999969482422
7,2021-04-13,54.40999984741211
8,2021-04-14,57.459999084472656
9,2021-04-15,57.790000915527344
10,2021-04-16,56.470001220703125
11,2021-04-19,55.790000915527344
12,2021-04-20,53.470001220703125
13,2021-04-21,49.880001068115234
14,2021-04-22,52.34000015258789
15,2021-04-23,51.209999084472656
16,2021-04-26,54.04999923706055
17,2021-04-27,53.779998779296875
18,2021-04-28,53.25
19,2021-04-29,54.099998474121094
20,2021-04-30,53.220001220703125
